gene	recessive	dominant	adult_onset
FSHR	1	1	0
KDSR	0	0	0
FST	0	0	0
FPGS	0	0	0
FOSL1	0	0	0
FSHB	1	0	0
FOXO1	1	1	0
FMN1	1	0	0
FPR1	0	0	0
FPR2	0	0	0
FPR3	0	0	0
FUCA2	1	0	0
FUT5	0	0	0
FUT6	0	0	0
FH	1	1	0
FURIN	0	0	0
TSTA3	0	0	0
FYN	0	0	0
GRK4	0	0	0
GALK2	0	0	0
GALM	0	0	0
GAL	0	1	0
B4GALT1	1	0	0
FUS	1	1	0
IGAD1	1	1	0
GABRA2	0	0	0
GABRA4	0	0	0
GABRA5	0	0	0
GABRA6	0	0	0
ABAT	1	0	0
GABRA1	0	1	0
GABRR1	0	0	0
GABRR2	0	0	0
GABRD	0	1	0
GABRG2	0	1	0
SLC6A1	0	1	0
GABRG1	0	0	0
GGCX	1	0	0
GGT5	0	0	0
GGCT	0	1	0
GGT2	0	0	0
GABRB1	0	1	0
GABRB3	0	1	0
LRRC32	0	0	0
ATP4A	0	0	0
ATP4B	0	0	0
GIP	0	0	0
GIPR	0	0	0
GAST	0	0	0
GRP	0	0	0
TACSTD2	1	1	0
GATA2	0	1	0
GSN	0	1	0
SLC20A1	0	0	0
GFAP	1	1	1
MPV17	1	0	0
GCG	0	0	0
GLP1R	0	0	0
GCGR	0	1	1
NR3C1	0	1	0
NR3C1P1	0	0	0
GCK	1	1	1
H6PD	1	0	0
HSPA5	0	0	0
GLUD1	1	1	1
SLC2A1	1	1	0
GOT2	0	0	0
SLC2A2	1	1	1
SLC2A3	0	0	0
GOT1	0	0	0
SLC2A4	0	1	0
GPT	0	0	0
GPT2	1	0	0
SLC2A5	0	0	0
GRIK3	0	0	0
GRIK2	1	0	0
GRIK1	0	0	0
GRIA4	0	0	0
GRIA2	0	1	0
GRIA1	0	0	0
GRIN1	0	1	0
ALDH18A1	1	1	0
GRINA	0	1	0
GRIN2B	0	1	0
GRIN2A	0	1	0
GRIN2C	0	1	0
GAD2	0	1	0
GLS	0	0	0
GLUL	1	0	0
GFPT1	1	0	0
EPRS	0	0	0
ENPEP	0	0	0
GSR	1	1	0
GPX2	0	0	0
GPX1	1	0	0
GPX3	0	0	0
GPX4	1	0	0
MGST1	0	1	0
GSTM4	0	0	0
GSTM1	0	0	0
GSTA1	0	0	0
GSTA2	0	0	0
GSTM2	0	0	0
GSTM5	0	0	0
GSTM3	0	0	0
